epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.2895,1.50923,1.8978,1.92449,0.28227,0.19672,0.15665,0.04307,2.68129,2.68304,5.36999,0.082,0.002,0.002
2,183.696,1.43969,1.44572,1.75867,0.00858,0.21311,0.00566,0.00109,4.13559,47.5024,14.8377,0.0630459,0.00404588,0.00404588
3,270.901,1.35392,1.33338,1.71916,0.0677,0.78689,0.06931,0.02212,2.58842,230.046,46.5022,0.0440363,0.00603632,0.00603632
4,349.456,1.35092,1.14679,1.69626,0.19274,0.54098,0.25513,0.0766,2.60855,9.44282,9.10345,0.0249713,0.00797132,0.00797132
5,423.247,1.36569,1.29968,1.72245,0.19187,0.18033,0.08134,0.03635,2.8626,4.20843,6.70902,0.009472,0.009472,0.009472
6,496.72,1.25729,1.17063,1.63909,0.05012,0.34426,0.03884,0.01447,2.4481,6.33027,4.0674,0.00934,0.00934,0.00934
7,568.452,1.28565,1.14874,1.66722,0.16728,0.4918,0.15653,0.06569,1.90998,4.62497,2.82694,0.009208,0.009208,0.009208
8,633.317,1.24876,1.07638,1.65501,0.14311,0.52459,0.12823,0.0477,2.40232,4.17532,3.55521,0.009076,0.009076,0.009076
9,697.366,1.22585,1.08395,1.61881,0.38125,0.60656,0.42391,0.13394,2.11645,2.76701,3.32253,0.008944,0.008944,0.008944
10,760.595,1.21806,1.06357,1.61738,0.10786,0.16393,0.04865,0.01721,2.88902,6.61331,4.09556,0.008812,0.008812,0.008812
11,824.791,1.1899,1.06838,1.59186,0.46567,0.44262,0.37794,0.15641,1.96493,3.02387,2.70812,0.00868,0.00868,0.00868
12,899.629,1.13403,1.00002,1.49849,0.41262,0.74858,0.41031,0.15713,1.77094,2.6576,2.38027,0.008548,0.008548,0.008548
13,969.434,1.11156,0.97543,1.49457,0.45721,0.6076,0.39337,0.20431,1.30641,1.90767,1.92165,0.008416,0.008416,0.008416
14,1038.1,1.12434,0.96428,1.5275,0.93505,0.94411,0.93228,0.7022,0.84407,0.82652,1.43863,0.008284,0.008284,0.008284
15,1118.65,1.08123,0.88943,1.48229,0.84764,0.86885,0.8885,0.65278,0.94323,1.24692,1.52214,0.008152,0.008152,0.008152
16,1191.42,1.01808,0.84858,1.45764,0.77889,0.90164,0.91909,0.69089,0.88513,1.26489,1.41901,0.00802,0.00802,0.00802
17,1265.19,0.98697,0.80492,1.4156,0.91799,0.93443,0.94284,0.68846,0.86014,1.15244,1.4665,0.007888,0.007888,0.007888
18,1340.13,1.02859,0.84707,1.41526,0.81464,0.86463,0.87705,0.63034,0.98756,1.24231,1.61253,0.007756,0.007756,0.007756
19,1410.56,1.00685,0.86477,1.43199,0.95208,0.9772,0.98289,0.73059,0.86687,0.92797,1.40282,0.007624,0.007624,0.007624
20,1478.39,0.94568,0.78975,1.36467,0.99531,1,0.995,0.78155,0.91335,0.76793,1.54497,0.007492,0.007492,0.007492
21,1543.25,0.97433,0.76565,1.3648,0.97387,0.93443,0.98583,0.74107,1.11656,0.94701,1.61368,0.00736,0.00736,0.00736
22,1608.48,0.93395,0.80344,1.34822,0.97671,0.98361,0.98363,0.83309,0.73591,0.67826,1.21234,0.007228,0.007228,0.007228
23,1674.73,1.00722,0.77005,1.46989,0.95293,0.99561,0.99293,0.85602,0.63911,0.56297,1.10405,0.007096,0.007096,0.007096
24,1742.67,0.95514,0.76979,1.37565,0.97895,1,0.99452,0.82669,0.72493,0.57457,1.15476,0.006964,0.006964,0.006964
25,1816.49,0.93073,0.74931,1.32659,0.96764,0.98031,0.9904,0.80815,0.78516,0.6534,1.24462,0.006832,0.006832,0.006832
26,1897.24,0.93485,0.74811,1.33628,0.94676,0.95082,0.9828,0.79124,0.77653,0.63821,1.27696,0.0067,0.0067,0.0067
27,1960.3,0.96,0.73636,1.38193,0.96116,0.95082,0.98676,0.82773,0.66469,0.59856,1.20789,0.006568,0.006568,0.006568
28,2028.06,0.95014,0.74199,1.36842,0.96711,1,0.99405,0.83908,0.6941,0.50809,1.17234,0.006436,0.006436,0.006436
29,2091.21,0.88674,0.68968,1.34273,0.97897,0.98361,0.99156,0.77015,0.85134,0.61694,1.2749,0.006304,0.006304,0.006304
30,2163.91,0.88537,0.67111,1.32637,0.98892,0.96721,0.98229,0.78662,0.81171,0.58642,1.24141,0.006172,0.006172,0.006172
31,2227.64,0.88796,0.69365,1.35316,1,0.98145,0.99397,0.85924,0.60563,0.52229,1.10419,0.00604,0.00604,0.00604
32,2292.04,0.9065,0.67208,1.33635,0.99267,0.98361,0.9941,0.88853,0.52492,0.50398,1.01614,0.005908,0.005908,0.005908
33,2352.16,0.86387,0.63358,1.31,0.98144,0.96721,0.99299,0.86841,0.54088,0.51196,1.01899,0.005776,0.005776,0.005776
34,2416.03,0.92321,0.65429,1.32503,0.96727,0.96903,0.9928,0.83451,0.63223,0.54773,1.07678,0.005644,0.005644,0.005644
35,2480.04,0.81232,0.61135,1.27316,0.96677,0.95404,0.99165,0.88851,0.50101,0.48871,0.98253,0.005512,0.005512,0.005512
36,2539.57,0.85348,0.61895,1.32541,0.97768,0.96721,0.98857,0.88666,0.55999,0.50507,1.03937,0.00538,0.00538,0.00538
37,2600.96,0.84009,0.60745,1.30849,0.97842,0.96721,0.98917,0.88961,0.57453,0.52305,1.02635,0.005248,0.005248,0.005248
38,2670.32,0.83467,0.61601,1.30078,0.99861,1,0.995,0.90873,0.47337,0.42923,0.95227,0.005116,0.005116,0.005116
39,2742.87,0.87116,0.65206,1.32975,1,0.99452,0.995,0.91301,0.41145,0.43508,0.91755,0.004984,0.004984,0.004984
40,2811.05,0.84345,0.60876,1.28299,0.98818,0.98361,0.99468,0.93502,0.4069,0.42389,0.90363,0.004852,0.004852,0.004852
41,2872.84,0.87129,0.61536,1.30152,1,0.98156,0.99484,0.90861,0.46569,0.41808,0.92815,0.00472,0.00472,0.00472
42,2941.17,0.82938,0.59526,1.27522,0.99791,1,0.995,0.92272,0.40746,0.38176,0.91894,0.004588,0.004588,0.004588
43,3006.88,0.83149,0.60718,1.29944,0.98736,1,0.995,0.90221,0.3839,0.37878,0.89648,0.004456,0.004456,0.004456
44,3066.33,0.84626,0.57957,1.28306,0.99797,1,0.995,0.8897,0.48431,0.36196,0.93033,0.004324,0.004324,0.004324
45,3127.17,0.83833,0.59252,1.27939,0.9971,1,0.995,0.91617,0.39209,0.34621,0.86902,0.004192,0.004192,0.004192
46,3201.79,0.85885,0.64491,1.33744,0.98481,0.96721,0.99374,0.85761,0.58941,0.4037,1.0569,0.00406,0.00406,0.00406
47,3262.25,0.83452,0.5969,1.29215,0.98894,0.96721,0.9873,0.9132,0.456,0.4026,0.92837,0.003928,0.003928,0.003928
48,3321.41,0.78166,0.52303,1.22212,0.98995,0.96721,0.98467,0.92664,0.4194,0.39367,0.8958,0.003796,0.003796,0.003796
49,3380.32,0.77602,0.55464,1.23914,1,0.96697,0.9868,0.91136,0.39202,0.37014,0.87869,0.003664,0.003664,0.003664
50,3442.5,0.81064,0.53751,1.24804,0.98317,0.95759,0.98742,0.93655,0.35333,0.35147,0.86797,0.003532,0.003532,0.003532
51,3507.27,0.80499,0.55215,1.25983,0.9948,0.98361,0.99468,0.91356,0.42712,0.36529,0.9163,0.0034,0.0034,0.0034
52,3579.56,0.79384,0.54853,1.2648,0.98381,0.99628,0.99484,0.92923,0.38157,0.39172,0.86913,0.003268,0.003268,0.003268
53,3644.41,0.73078,0.54324,1.20959,1,0.99436,0.995,0.96031,0.35007,0.39032,0.83278,0.003136,0.003136,0.003136
54,3706.05,0.78024,0.53958,1.25564,0.98027,1,0.99484,0.94827,0.39098,0.37719,0.86746,0.003004,0.003004,0.003004
55,3765.27,0.74465,0.53444,1.2422,0.96819,0.9979,0.99435,0.96564,0.32849,0.29876,0.82338,0.002872,0.002872,0.002872
56,3823.37,0.72424,0.50057,1.2101,0.98063,0.98361,0.99378,0.94682,0.32078,0.28778,0.83606,0.00274,0.00274,0.00274
57,3880.74,0.73809,0.52903,1.22859,0.97866,0.98361,0.99043,0.95958,0.38423,0.2877,0.91141,0.002608,0.002608,0.002608
58,3938.6,0.74423,0.51764,1.25583,0.99321,1,0.995,0.95818,0.39962,0.31688,0.90872,0.002476,0.002476,0.002476
59,3997.55,0.74206,0.51582,1.24786,0.98048,0.98361,0.9916,0.96207,0.37634,0.31944,0.88664,0.002344,0.002344,0.002344
60,4055.38,0.76009,0.50635,1.24464,0.99388,1,0.995,0.92437,0.39439,0.32902,0.85509,0.002212,0.002212,0.002212
61,4113.24,0.74599,0.49611,1.22775,0.99416,1,0.995,0.94157,0.3961,0.31377,0.85508,0.00208,0.00208,0.00208
62,4170.76,0.70145,0.48987,1.17158,0.99564,1,0.995,0.96,0.32573,0.27765,0.81621,0.001948,0.001948,0.001948
63,4229.48,0.74982,0.49183,1.2348,1,0.99782,0.995,0.95748,0.33728,0.27745,0.81838,0.001816,0.001816,0.001816
64,4281.39,0.69562,0.47999,1.2052,0.99664,1,0.995,0.94717,0.34893,0.29132,0.82211,0.001684,0.001684,0.001684
65,4334.36,0.68842,0.48238,1.22112,0.99435,1,0.995,0.95119,0.34653,0.29899,0.82634,0.001552,0.001552,0.001552
66,4389.93,0.60407,0.68925,1.35773,0.99423,1,0.995,0.96207,0.33741,0.30901,0.81344,0.00142,0.00142,0.00142
67,4442.53,0.56142,0.531,1.32991,0.98631,1,0.995,0.97905,0.26261,0.27781,0.7567,0.001288,0.001288,0.001288
68,4495.53,0.48937,0.42839,1.24889,0.99879,1,0.995,0.98868,0.2448,0.27048,0.73861,0.001156,0.001156,0.001156
69,4547.69,0.4798,0.39182,1.24129,0.9967,1,0.995,0.99143,0.24738,0.26124,0.73458,0.001024,0.001024,0.001024
70,4599.01,0.44518,0.35061,1.20453,0.99878,1,0.995,0.9853,0.24812,0.23538,0.73048,0.000892,0.000892,0.000892
71,4650.9,0.45467,0.3451,1.18012,0.99894,1,0.995,0.99199,0.21213,0.21499,0.71186,0.00076,0.00076,0.00076
72,4702.84,0.45741,0.34609,1.22188,0.99901,1,0.995,0.99226,0.19418,0.21667,0.71013,0.000628,0.000628,0.000628
73,4754.1,0.45526,0.33695,1.21599,0.99907,1,0.995,0.99243,0.20623,0.22385,0.72052,0.000496,0.000496,0.000496
74,4806.19,0.46719,0.3416,1.2277,0.99907,1,0.995,0.98589,0.21422,0.22859,0.72358,0.000364,0.000364,0.000364
75,4858.41,0.42437,0.34234,1.18444,0.99907,1,0.995,0.99231,0.21037,0.22757,0.7197,0.000232,0.000232,0.000232
