Image_Name,yolov8n-seg.pt_Detections,yolov8n-seg.pt_Time_Seconds,yolov8s-seg.pt_Detections,yolov8s-seg.pt_Time_Seconds,yolov8n.pt_Detections,yolov8n.pt_Time_Seconds,yolov8s.pt_Detections,yolov8s.pt_Time_Seconds,yolov8n-oiv7.pt_Detections,yolov8n-oiv7.pt_Time_Seconds
04a0a1292c.jpg,6,0.414,12,0.79,8,0.398,6,0.541,5,0.433
04a0a16018.jpg,8,0.212,10,0.507,12,0.202,7,0.297,10,0.183
04a0a20def.jpg,3,0.157,2,0.397,3,0.135,2,0.33,1,0.136
04a0a5f475.jpg,4,0.131,5,0.478,3,0.126,6,0.283,1,0.12
04a0a69a47.jpg,5,0.178,5,0.593,5,0.138,4,0.341,5,0.146
04a0a70cb6.jpg,5,0.189,10,0.743,6,0.147,7,0.331,3,0.164
04a0a761cf.jpg,2,0.205,7,0.742,3,0.129,5,0.267,2,0.165
04a0a90120.jpg,6,0.138,7,0.71,10,0.121,11,0.279,4,0.13
04a0a9ba14.jpg,18,0.191,15,0.601,16,0.163,17,0.304,26,0.166
04a0aa367f.jpg,7,0.18,4,0.499,2,0.127,4,0.285,2,0.154
04a0aab223.jpg,6,0.295,5,0.436,6,0.146,8,0.308,5,0.166
04a0abd228.jpg,9,0.233,4,0.37,9,0.129,8,0.3,1,0.163
04a0abdeec.jpg,3,0.178,3,0.347,4,0.123,7,0.285,1,0.127
04a0ad389b.jpg,0,0.163,6,0.361,3,0.123,6,0.318,1,0.145
04a0b16569.jpg,4,0.177,5,0.382,4,0.154,5,0.306,1,0.166
04a0b219a4.jpg,6,0.173,8,0.406,5,0.17,7,0.317,5,0.177
04a0b24187.jpg,2,0.228,2,0.348,3,0.144,3,0.287,1,0.157
04a0b25f6e.jpg,2,0.258,5,0.359,2,0.153,4,0.307,3,0.157
04a0b3cea6.jpg,3,0.145,2,0.398,3,0.128,4,0.277,2,0.144
04a0b51363.jpg,12,0.233,15,0.313,9,0.155,13,0.313,8,0.16
04a0b91192.jpg,12,0.273,8,0.467,8,0.188,10,0.549,5,0.207
04a0bbfb0d.jpg,15,0.277,16,0.368,16,0.106,14,0.415,20,0.127
04a0bce83f.jpg,5,0.136,8,0.441,6,0.122,9,0.299,2,0.141
04a0bd2f5e.jpg,2,0.14,2,0.391,2,0.155,2,0.262,1,0.151
04a0be6c1c.jpg,2,0.197,2,0.378,2,0.152,2,0.331,1,0.185
04a0c1834d.jpg,7,0.163,4,0.368,8,0.23,4,0.315,6,0.167
04a0c3899e.jpg,9,0.25,12,0.346,10,0.111,14,0.302,4,0.128
04a0c761aa.jpg,11,0.418,8,0.43,8,0.248,10,0.422,5,0.471
04a0c85d75.jpg,5,0.167,8,0.373,5,0.142,6,0.285,1,0.3
04a0ca6170.jpg,3,0.174,5,0.468,0,0.171,2,0.341,1,0.348
04a0cb9a2a.jpg,4,0.302,6,0.741,6,0.139,8,0.344,5,0.319
04a0d4115e.jpg,17,0.254,24,0.603,14,0.205,20,0.369,1,0.323
04a0d4e35c.jpg,4,0.169,4,0.366,5,0.143,5,0.271,4,0.233
04a0d5a484.jpg,8,0.189,12,0.504,7,0.152,8,0.312,7,0.201
04a0d7895d.jpg,12,0.165,12,0.431,16,0.141,14,0.289,4,0.203
04a0d8a1cb.jpg,15,0.151,6,0.461,20,0.114,5,0.319,13,0.214
04a0da2424.jpg,4,0.148,3,0.416,2,0.122,3,0.255,1,0.165
04a0dabcac.jpg,12,0.166,8,0.431,8,0.141,10,0.282,2,0.259
04a0db9764.jpg,6,0.2,1,0.496,12,0.176,24,0.434,1,0.258
04a0dc4a5a.jpg,1,0.182,2,0.454,3,0.165,1,0.345,1,0.255
04a0dd51fa.jpg,2,0.128,2,0.41,1,0.113,1,0.27,1,0.148
04a0df70db.jpg,4,0.361,5,0.461,3,0.124,6,0.323,3,0.142
04a0e069fe.jpg,4,0.151,3,0.336,3,0.136,3,0.31,1,0.159
04a0e17e57.jpg,1,0.155,2,0.329,4,0.123,4,0.229,1,0.131
04a0e2ae0b.jpg,8,0.182,2,0.46,8,0.143,7,0.299,3,0.147
04a0e30ed8.jpg,3,0.186,8,0.439,5,0.131,7,0.269,3,0.141
04a0e33bb6.jpg,6,0.191,9,0.365,7,0.128,10,0.283,2,0.149
04a0e37d97.jpg,15,0.199,15,0.433,14,0.169,16,0.295,3,0.176
04a0e3edd0.jpg,6,0.165,5,0.389,5,0.137,10,0.272,4,0.172
04a0e657ac.jpg,13,0.238,13,0.439,10,0.146,10,0.304,4,0.185
04a0e67538.jpg,3,0.161,3,0.529,1,0.112,5,0.271,1,0.141
04a0e78e85.jpg,4,0.129,6,0.423,5,0.123,6,0.256,11,0.143
04a0e7920c.jpg,8,0.156,7,0.518,5,0.13,8,0.29,3,0.155
04a0e7af6d.jpg,15,0.166,3,0.351,14,0.127,3,0.28,6,0.151
04a0e8270d.jpg,6,0.163,6,0.395,6,0.137,5,0.271,1,0.143
04a0e9fca3.jpg,8,0.173,6,0.423,5,0.14,7,0.336,5,0.191
04a0eaa9e3.jpg,6,0.151,6,0.336,9,0.117,6,0.305,4,0.291
04a0eb7a33.jpg,14,0.225,11,0.436,9,0.152,11,0.331,2,0.242
