Model_Name,Model_Type,Confidence_Threshold,Detections_Count,Inference_Time_Seconds,Unique_Classes,Avg_Detection_Confidence
yolov9s,detection,0.1,17,0.4521,6,0.3534
yolov9s,detection,0.25,11,0.1303,5,0.4522
yolov9s,detection,0.4,6,0.2003,5,0.5524
yolov9s,detection,0.6,3,0.2114,3,0.6734
yolov8m-seg,segmentation,0.1,14,0.7084,6,0.3018
yolov8m-seg,segmentation,0.25,6,0.3028,3,0.4974
yolov8m-seg,segmentation,0.4,3,0.3287,3,0.6974
yolov8m-seg,segmentation,0.6,3,0.2939,3,0.6974
yolov8n-seg,segmentation,0.1,13,3.0833,6,0.3273
yolov8n-seg,segmentation,0.25,7,0.0876,4,0.4472
yolov8n-seg,segmentation,0.4,5,0.0916,4,0.5222
yolov8n-seg,segmentation,0.6,0,0.0932,0,0.0
yolov8n,detection,0.1,13,0.1231,6,0.3074
yolov8n,detection,0.25,6,0.056,5,0.4693
yolov8n,detection,0.4,3,0.0589,2,0.6041
yolov8n,detection,0.6,2,0.0565,2,0.6826
yolov10n,detection,0.1,12,0.2144,5,0.3147
yolov10n,detection,0.25,8,0.0737,4,0.3877
yolov10n,detection,0.4,2,0.0796,2,0.5939
yolov10n,detection,0.6,1,0.0706,1,0.7033
yolov8s,detection,0.1,11,0.3202,5,0.3153
yolov8s,detection,0.25,6,0.127,4,0.4526
yolov8s,detection,0.4,3,0.1077,2,0.5706
yolov8s,detection,0.6,1,0.1068,1,0.7825
yolov8s-seg,segmentation,0.1,9,0.4745,6,0.3119
yolov8s-seg,segmentation,0.25,4,0.1581,3,0.5231
yolov8s-seg,segmentation,0.4,3,0.1444,3,0.5722
yolov8s-seg,segmentation,0.6,1,0.1361,1,0.6942
yolov8n-oiv7,detection,0.1,3,0.3293,1,0.2937
yolov8n-oiv7,detection,0.25,1,0.0893,1,0.4406
yolov8n-oiv7,detection,0.4,1,0.0971,1,0.4406
yolov8n-oiv7,detection,0.6,0,0.1066,0,0.0
