Image_Name,yolov8n-seg.pt_Detections,yolov8n-seg.pt_Time_Seconds,yolov8s-seg.pt_Detections,yolov8s-seg.pt_Time_Seconds,yolov8n.pt_Detections,yolov8n.pt_Time_Seconds,yolov8s.pt_Detections,yolov8s.pt_Time_Seconds,yolov8n-oiv7.pt_Detections,yolov8n-oiv7.pt_Time_Seconds
04a00c206b.jpg,13,7.754,9,0.408,13,0.168,11,0.61,3,0.199
04a00c2902.jpg,3,0.457,2,0.473,3,0.26,3,0.433,1,0.197
04a00d1a97.jpg,4,0.361,5,0.465,3,0.21,7,0.377,1,0.186
04a00da0d1.jpg,3,0.224,2,0.505,2,0.154,3,0.357,1,0.224
04a00f3a25.jpg,9,0.217,6,0.365,10,0.154,10,0.433,4,0.201
04a0124350.jpg,2,0.248,3,0.553,2,0.212,4,0.429,2,0.204
04a012bd85.jpg,3,0.187,1,0.515,1,0.155,1,0.593,1,0.183
04a016c442.jpg,2,0.221,0,0.534,4,0.234,2,0.525,1,0.217
04a0176097.jpg,1,0.213,2,0.437,2,0.199,3,0.419,3,0.153
04a01946b4.jpg,0,0.237,2,0.377,2,0.237,2,0.498,1,0.171
04a01b3fba.jpg,3,0.189,1,0.358,2,0.253,2,0.489,2,0.181
04a01cb51b.jpg,4,0.236,3,0.366,4,0.198,4,0.535,4,0.188
04a01efe21.jpg,3,0.225,9,0.406,4,0.206,5,0.46,1,0.165
04a01f1641.jpg,10,0.228,4,0.496,6,0.392,8,0.952,4,0.238
04a020c105.jpg,3,0.173,3,0.363,3,0.213,4,1.043,2,0.172
04a0229f40.jpg,3,0.3,2,0.549,3,0.223,4,1.113,4,0.202
04a022d69d.jpg,9,0.338,5,0.854,6,0.265,4,1.04,7,0.216
04a023a640.jpg,7,0.412,5,1.218,5,0.454,5,1.255,8,0.245
04a0261044.jpg,4,0.316,5,0.86,4,0.379,5,0.998,4,0.224
04a02618af.jpg,6,0.315,7,0.645,4,0.246,7,1.068,1,0.184
04a02772bf.jpg,3,0.35,0,0.761,1,0.214,2,1.1,1,0.227
04a02d0222.jpg,15,0.248,14,0.616,14,0.176,19,0.647,4,0.208
04a02e0f5b.jpg,3,0.248,3,0.803,2,0.185,2,0.743,1,0.195
04a02f1dd0.jpg,6,0.207,15,0.743,5,0.183,17,0.681,0,0.229
04a02fd7b5.jpg,7,0.401,7,0.538,7,0.181,7,0.522,3,0.195
04a0300a48.jpg,2,0.243,3,0.573,4,0.142,3,0.671,1,0.188
04a0311e93.jpg,5,0.342,2,0.653,4,0.229,3,0.685,2,0.418
04a0323f9f.jpg,13,0.353,13,0.55,14,0.303,14,0.814,10,0.277
04a034f8a3.jpg,5,0.239,6,0.75,6,0.251,8,0.672,3,0.234
04a0356571.jpg,2,0.366,4,0.837,4,0.282,3,0.734,4,0.217
04a035e9c9.jpg,28,0.232,21,0.691,23,0.173,24,0.66,8,0.202
04a0364a6a.jpg,3,0.342,2,0.887,2,0.293,2,0.853,3,0.258
04a03683ea.jpg,0,0.345,0,0.656,1,0.181,1,0.681,1,0.256
04a038793c.jpg,6,0.436,4,0.898,4,0.19,4,0.786,2,0.261
04a039a03c.jpg,1,0.345,1,0.811,1,0.152,1,0.712,1,0.278
04a03bdd53.jpg,43,1.289,25,0.943,63,0.282,13,1.146,37,0.366
04a03c4497.jpg,6,0.327,9,0.652,9,0.362,10,0.907,0,0.411
04a03d9286.jpg,4,0.179,4,0.426,4,0.24,5,0.744,2,0.262
04a03f9a56.jpg,4,0.2,5,0.432,4,0.319,5,0.631,3,0.26
04a048696d.jpg,13,0.194,12,0.441,10,0.261,9,0.613,3,0.208
04a048940d.jpg,3,0.175,6,0.385,2,0.35,5,0.596,1,0.234
04a048ca38.jpg,6,0.169,7,0.449,5,0.316,6,0.61,2,0.221
04a04ab0d1.jpg,3,0.171,3,0.401,4,0.315,3,0.556,3,0.229
