Model_Name,Model_Type,Confidence_Threshold,Detections_Count,Inference_Time_Seconds,Unique_Classes,Avg_Detection_Confidence
yolov9s,detection,0.1,17,0.4193,6,0.3534
yolov9s,detection,0.25,11,0.1446,5,0.4522
yolov9s,detection,0.4,6,0.1285,5,0.5524
yolov9s,detection,0.6,3,0.1517,3,0.6734
yolov8m-seg,segmentation,0.1,14,0.7282,6,0.3018
yolov8m-seg,segmentation,0.25,6,0.3178,3,0.4974
yolov8m-seg,segmentation,0.4,3,0.3152,3,0.6974
yolov8m-seg,segmentation,0.6,3,0.3597,3,0.6974
yolov8n-seg,segmentation,0.1,13,2.8618,6,0.3273
yolov8n-seg,segmentation,0.25,7,0.1256,4,0.4472
yolov8n-seg,segmentation,0.4,5,0.1155,4,0.5222
yolov8n-seg,segmentation,0.6,0,0.0927,0,0.0
yolov8n,detection,0.1,13,0.134,6,0.3074
yolov8n,detection,0.25,6,0.0684,5,0.4693
yolov8n,detection,0.4,3,0.0684,2,0.6041
yolov8n,detection,0.6,2,0.071,2,0.6826
yolov10n,detection,0.1,12,0.1566,5,0.3147
yolov10n,detection,0.25,8,0.0781,4,0.3877
yolov10n,detection,0.4,2,0.058,2,0.5939
yolov10n,detection,0.6,1,0.0668,1,0.7033
yolov8s,detection,0.1,11,0.2796,5,0.3153
yolov8s,detection,0.25,6,0.1267,4,0.4526
yolov8s,detection,0.4,3,0.1636,2,0.5706
yolov8s,detection,0.6,1,0.1284,1,0.7825
yolov8s-seg,segmentation,0.1,9,0.3935,6,0.3119
yolov8s-seg,segmentation,0.25,4,0.1662,3,0.5231
yolov8s-seg,segmentation,0.4,3,0.4227,3,0.5722
yolov8s-seg,segmentation,0.6,1,0.1694,1,0.6942
yolov8n-oiv7,detection,0.1,3,0.1934,1,0.2937
yolov8n-oiv7,detection,0.25,1,0.0961,1,0.4406
yolov8n-oiv7,detection,0.4,1,0.0966,1,0.4406
yolov8n-oiv7,detection,0.6,0,0.075,0,0.0
