Model_Name,Model_Type,Confidence_Threshold,Detections_Count,Inference_Time_Seconds,Unique_Classes,Avg_Detection_Confidence
yolov9s,detection,0.1,17,0.8289,6,0.3534
yolov9s,detection,0.25,11,0.3386,5,0.4522
yolov9s,detection,0.4,6,0.3831,5,0.5524
yolov9s,detection,0.6,3,0.2189,3,0.6734
yolov8m-seg,segmentation,0.1,14,0.7991,6,0.3018
yolov8m-seg,segmentation,0.25,6,0.3161,3,0.4974
yolov8m-seg,segmentation,0.4,3,0.2913,3,0.6974
yolov8m-seg,segmentation,0.6,3,0.3022,3,0.6974
yolov8n-seg,segmentation,0.1,13,3.5109,6,0.3273
yolov8n-seg,segmentation,0.25,7,0.0896,4,0.4472
yolov8n-seg,segmentation,0.4,5,0.0801,4,0.5222
yolov8n-seg,segmentation,0.6,0,0.0719,0,0.0
yolov8n,detection,0.1,13,0.1907,6,0.3074
yolov8n,detection,0.25,6,0.0737,5,0.4693
yolov8n,detection,0.4,3,0.091,2,0.6041
yolov8n,detection,0.6,2,0.1022,2,0.6826
yolov10n,detection,0.1,12,0.3361,5,0.3147
yolov10n,detection,0.25,8,0.0926,4,0.3877
yolov10n,detection,0.4,2,0.1011,2,0.5939
yolov10n,detection,0.6,1,0.1617,1,0.7033
yolov8s,detection,0.1,11,0.3308,5,0.3153
yolov8s,detection,0.25,6,0.1249,4,0.4526
yolov8s,detection,0.4,3,0.1167,2,0.5706
yolov8s,detection,0.6,1,0.1073,1,0.7825
yolov8s-seg,segmentation,0.1,9,0.3155,6,0.3119
yolov8s-seg,segmentation,0.25,4,0.1428,3,0.5231
yolov8s-seg,segmentation,0.4,3,0.1469,3,0.5722
yolov8s-seg,segmentation,0.6,1,0.1439,1,0.6942
yolov8n-oiv7,detection,0.1,3,0.2284,1,0.2937
yolov8n-oiv7,detection,0.25,1,0.1055,1,0.4406
yolov8n-oiv7,detection,0.4,1,0.0875,1,0.4406
yolov8n-oiv7,detection,0.6,0,0.0844,0,0.0
