epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.5073,1.61119,1.89895,1.99644,0.00076,0.13542,0.00043,0.00011,5.02215,243.627,111.706,0.0707895,0.00324561,0.00324561
2,195.948,1.72729,1.65059,2.01396,0.01081,0.32292,0.0073,0.00148,4.05877,553.723,81.2403,0.0406592,0.00644868,0.00644868
3,285.295,1.65358,1.56992,1.95193,0,0,0,0,5.40767,6.65848,19.6614,0.0103969,0.00951975,0.00951975
4,379.408,1.57479,1.51099,1.94761,0.01261,0.60417,0.0108,0.00262,2.81351,19.6123,4.73393,0.009406,0.009406,0.009406
5,474.772,1.50599,1.48535,1.87886,0.03713,0.03125,0.01021,0.00227,3.15054,14.1775,4.24223,0.009208,0.009208,0.009208
6,566.074,1.49766,1.37729,1.85934,0.13908,0.25,0.09073,0.02851,2.63748,3.18369,3.3814,0.00901,0.00901,0.00901
7,661.636,1.44141,1.27127,1.78268,0.61484,0.47917,0.50332,0.23011,1.66947,2.03356,2.45166,0.008812,0.008812,0.008812
8,761.575,1.38676,1.23889,1.76722,0.54134,0.63933,0.56045,0.28334,1.55041,1.79702,2.31627,0.008614,0.008614,0.008614
9,853.213,1.41116,1.18176,1.78151,0.26339,0.52083,0.28151,0.12872,1.75908,2.49733,2.44301,0.008416,0.008416,0.008416
10,941.955,1.35462,1.10831,1.73114,0.69379,0.80247,0.70887,0.44341,1.28401,1.44278,2.1097,0.008218,0.008218,0.008218
11,1030.1,1.28566,1.11904,1.68073,0.87933,0.84375,0.82491,0.52862,1.28499,1.15706,2.09377,0.00802,0.00802,0.00802
12,1118.69,1.29557,1.11669,1.69712,0.83485,0.85417,0.81827,0.61228,1.17669,1.04086,1.90866,0.007822,0.007822,0.007822
13,1208.18,1.26039,1.09347,1.6375,0.87047,0.84003,0.81054,0.60339,1.03019,0.98402,1.76317,0.007624,0.007624,0.007624
14,1297.18,1.25638,1.11684,1.66028,0.86355,0.72518,0.79007,0.56776,1.11474,1.15737,1.81999,0.007426,0.007426,0.007426
15,1387.77,1.29274,1.08897,1.68581,0.85437,0.85417,0.83337,0.59684,1.16381,1.12921,1.82404,0.007228,0.007228,0.007228
16,1476.23,1.26241,1.07374,1.67226,0.88874,0.83207,0.85082,0.59185,1.2834,0.98974,1.94435,0.00703,0.00703,0.00703
17,1563.87,1.2497,1.03119,1.65678,0.8683,0.875,0.85444,0.64175,1.02272,0.95611,1.66996,0.006832,0.006832,0.006832
18,1651.62,1.23818,0.99729,1.64969,0.87281,0.86458,0.85533,0.64971,0.97733,0.97593,1.74235,0.006634,0.006634,0.006634
19,1740.91,1.23798,0.99498,1.6315,0.8488,0.81868,0.8345,0.63093,1.06936,1.02746,1.82178,0.006436,0.006436,0.006436
20,1828.99,1.22057,0.97258,1.62783,0.87493,0.83333,0.83313,0.64538,0.97384,0.87711,1.66795,0.006238,0.006238,0.006238
21,1920.75,1.21071,0.93333,1.60411,0.85963,0.8293,0.82336,0.61898,1.05295,0.88182,1.71368,0.00604,0.00604,0.00604
22,2065.91,1.1868,0.97838,1.60342,0.86974,0.875,0.85989,0.68193,0.91162,0.79149,1.56176,0.005842,0.005842,0.005842
23,2171.87,1.22825,0.96446,1.64946,0.8778,0.85417,0.83511,0.66354,0.86486,0.81096,1.55952,0.005644,0.005644,0.005644
24,2275.58,1.18719,0.94796,1.60528,0.88979,0.85417,0.85039,0.62723,0.95051,0.84609,1.61847,0.005446,0.005446,0.005446
25,2386.64,1.18533,0.95552,1.61064,0.87677,0.85417,0.85653,0.67942,0.90071,0.88719,1.60119,0.005248,0.005248,0.005248
26,2494.46,1.19551,0.94034,1.57551,0.84073,0.82483,0.848,0.66886,0.95369,0.8548,1.54827,0.00505,0.00505,0.00505
27,2608.89,1.16513,0.94419,1.57035,0.87317,0.88542,0.8541,0.69675,0.82981,0.73613,1.48361,0.004852,0.004852,0.004852
28,2713.55,1.1722,0.9144,1.57171,0.85225,0.86458,0.82289,0.67139,0.89897,0.69324,1.5185,0.004654,0.004654,0.004654
29,2816.13,1.14257,0.94527,1.56127,0.85195,0.84375,0.82637,0.67354,0.85144,0.77706,1.52627,0.004456,0.004456,0.004456
30,2919.22,1.15379,0.84771,1.56078,0.89156,0.85644,0.86271,0.65389,0.98636,0.77544,1.64869,0.004258,0.004258,0.004258
31,3021.43,1.08446,0.8605,1.52281,0.85495,0.875,0.85077,0.6992,0.87106,0.74637,1.53286,0.00406,0.00406,0.00406
32,3122.21,1.03985,0.83954,1.49117,0.87854,0.85417,0.864,0.68642,0.94068,0.77224,1.5642,0.003862,0.003862,0.003862
33,3222.53,1.12213,0.85088,1.5676,0.86135,0.84375,0.85409,0.6749,0.92389,0.88794,1.59352,0.003664,0.003664,0.003664
34,3323.19,1.10294,0.83729,1.53716,0.88104,0.84864,0.85398,0.73536,0.74351,0.72294,1.43861,0.003466,0.003466,0.003466
35,3423.12,1.11019,0.83609,1.58226,0.88191,0.88542,0.86822,0.66929,0.90327,0.73979,1.52533,0.003268,0.003268,0.003268
36,3524.54,1.09236,0.86503,1.52601,0.88299,0.875,0.87158,0.71437,0.80204,0.7849,1.45337,0.00307,0.00307,0.00307
37,3623.93,1.07979,0.81749,1.52465,0.88077,0.85417,0.86468,0.72825,0.75081,0.70288,1.4347,0.002872,0.002872,0.002872
38,3730.93,1.08778,0.83102,1.48539,0.88126,0.85045,0.85164,0.72361,0.83398,0.72919,1.51995,0.002674,0.002674,0.002674
39,3835.9,1.08471,0.85476,1.53095,0.87206,0.85204,0.85216,0.71638,0.74219,0.68149,1.43036,0.002476,0.002476,0.002476
40,3936.08,1.06365,0.81134,1.52122,0.87505,0.88542,0.85762,0.70971,0.7895,0.66498,1.39987,0.002278,0.002278,0.002278
41,4042.45,1.0003,0.96023,1.75183,0.86031,0.86458,0.84859,0.71805,0.70523,0.67975,1.3684,0.00208,0.00208,0.00208
42,4143.2,0.92754,0.80129,1.72298,0.84446,0.85417,0.85283,0.72967,0.68894,0.77517,1.4269,0.001882,0.001882,0.001882
43,4243.65,0.91275,0.7781,1.67323,0.87755,0.86458,0.85585,0.73679,0.69777,0.729,1.38463,0.001684,0.001684,0.001684
44,4343.46,0.88769,0.73823,1.66555,0.87094,0.86458,0.85818,0.74307,0.6853,0.73896,1.37849,0.001486,0.001486,0.001486
45,4448.77,0.83663,0.74026,1.61773,0.8724,0.875,0.86325,0.75586,0.67412,0.75139,1.35292,0.001288,0.001288,0.001288
46,4565.82,0.83572,0.69951,1.62298,0.86359,0.875,0.85079,0.73409,0.64881,0.68772,1.35228,0.00109,0.00109,0.00109
47,4677.61,0.82556,0.70385,1.58812,0.86389,0.875,0.85555,0.7463,0.62607,0.67141,1.32072,0.000892,0.000892,0.000892
48,4796.82,0.85771,0.70676,1.63768,0.87455,0.88542,0.86919,0.76904,0.57474,0.64624,1.28355,0.000694,0.000694,0.000694
49,4942.73,0.81628,0.66328,1.5979,0.87517,0.88542,0.86909,0.76717,0.58813,0.68821,1.28397,0.000496,0.000496,0.000496
50,5051.58,0.81807,0.6874,1.60836,0.88451,0.88542,0.87047,0.76207,0.58314,0.69998,1.27566,0.000298,0.000298,0.000298
