epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13614.5,1.53882,2.62359,1.3663,0.89194,0.85245,0.90207,0.59727,1.25037,1.78924,1.1888,0.0005941,0.0005941,0.0005941
43,13977,1.52871,2.49666,1.35326,0.90268,0.85244,0.91684,0.6071,1.22362,1.69865,1.17876,0.0005842,0.0005842,0.0005842
44,14358.6,1.50051,2.50158,1.3522,0.86735,0.83434,0.87971,0.55337,1.30512,1.79187,1.23902,0.0005743,0.0005743,0.0005743
45,14648.7,1.49385,2.43383,1.35,0.90553,0.85753,0.92611,0.62089,1.19435,1.64292,1.17293,0.0005644,0.0005644,0.0005644
46,14941,1.49448,2.51904,1.34947,0.91803,0.87242,0.93032,0.58623,1.35651,1.63545,1.24346,0.0005545,0.0005545,0.0005545
47,15228.1,1.43978,2.34783,1.32237,0.90292,0.87988,0.93132,0.63073,1.19794,1.5773,1.15604,0.0005446,0.0005446,0.0005446
48,15522.4,1.43948,2.39926,1.32219,0.91644,0.88421,0.9385,0.64083,1.16813,1.52902,1.13346,0.0005347,0.0005347,0.0005347
49,15815.7,1.48419,2.46634,1.33956,0.88886,0.88574,0.93374,0.62582,1.23105,1.54985,1.17528,0.0005248,0.0005248,0.0005248
50,16107.3,1.4272,2.25276,1.3154,0.92214,0.88012,0.94464,0.63953,1.21377,1.51547,1.1661,0.0005149,0.0005149,0.0005149
51,16397.7,1.42571,2.31825,1.30032,0.93325,0.88585,0.94765,0.65167,1.11524,1.51343,1.12954,0.000505,0.000505,0.000505
52,16690.2,1.40267,2.26201,1.30045,0.92368,0.8964,0.94946,0.65646,1.10181,1.46585,1.1177,0.0004951,0.0004951,0.0004951
53,16978.9,1.37698,2.20537,1.2857,0.93546,0.87933,0.94488,0.66516,1.10486,1.40691,1.1175,0.0004852,0.0004852,0.0004852
54,17274.7,1.3437,2.14415,1.26043,0.91946,0.91894,0.95852,0.65991,1.13497,1.4329,1.12204,0.0004753,0.0004753,0.0004753
55,17564.7,1.33877,2.09957,1.24943,0.93198,0.91961,0.95929,0.67805,1.12705,1.35145,1.12862,0.0004654,0.0004654,0.0004654
56,17860.6,1.35527,2.08731,1.26664,0.93645,0.92476,0.96589,0.67197,1.11247,1.35936,1.11734,0.0004555,0.0004555,0.0004555
