epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.9093,0,63.6571,0,0,0,0,0,0,49.4707,0,0.091,0.001,0.001
2,134.698,0,10.6225,0,0,0,0,0,0,716.675,0,0.0810584,0.00205842,0.00205842
3,205.547,0,2.43206,0,0,0,0,0,0,2.56561e+06,0,0.0710733,0.00307328,0.00307328
4,273.159,0,0.33632,0,0,0,0,0,0,2.04258e+07,0,0.0610446,0.00404458,0.00404458
5,343.257,0,0.01192,0,0,0,0,0,0,48.4912,0,0.0509723,0.00497232,0.00497232
