epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8937,3.7351,10.0735,2.91633,0,0,0,0,3.79856,10.5561,3.12818,9e-05,9e-05,9e-05
2,66.9904,3.55084,9.99757,2.59524,0,0,0,0,3.46261,10.3083,2.67793,0.000186238,0.000186238,0.000186238
3,102.267,3.37866,9.31787,2.39747,0.00097,0.03469,0.00062,0.00014,3.24801,10.0565,2.45138,0.000278516,0.000278516,0.000278516
4,135.079,3.14697,9.1241,2.19288,0.00206,0.09657,0.0019,0.0003,2.95028,9.68098,2.20145,0.000366834,0.000366834,0.000366834
5,169.59,3.28931,8.8687,2.21113,0.004,0.16528,0.00342,0.00077,2.86288,9.40304,2.20038,0.000451192,0.000451192,0.000451192
6,207.15,3.09986,8.61047,2.04686,0.00374,0.19161,0.00404,0.00074,2.87771,9.07478,2.11845,0.00053159,0.00053159,0.00053159
7,242.845,3.04868,8.44362,2.04923,0.00352,0.17239,0.00383,0.00061,2.91517,8.92131,2.16452,0.000608028,0.000608028,0.000608028
8,275.373,2.96349,8.40756,1.98667,0.00501,0.2203,0.00865,0.00191,3.0243,8.71519,2.38569,0.000680506,0.000680506,0.000680506
9,305.498,3.06425,8.20007,2.03236,0.00555,0.24389,0.00565,0.00106,3.05937,8.65201,2.45054,0.000749024,0.000749024,0.000749024
10,335.881,3.0346,8.14142,2.02929,0.00575,0.29446,0.01325,0.00331,2.96397,8.34401,2.31049,0.000813582,0.000813582,0.000813582
11,366.343,2.83234,7.96474,2.02085,0.0068,0.3347,0.02043,0.0048,2.88957,8.42933,2.21424,0.000802,0.000802,0.000802
12,396.127,3.02312,7.84901,2.00092,0.36188,0.10149,0.01963,0.00577,2.87991,8.31239,2.19835,0.0007822,0.0007822,0.0007822
13,430.222,2.87738,7.88949,1.9446,0.00792,0.37499,0.01995,0.0054,2.82156,8.24291,2.13182,0.0007624,0.0007624,0.0007624
14,460.367,2.73993,7.98073,1.90019,0.01073,0.45709,0.02693,0.00793,2.79096,7.63637,2.06638,0.0007426,0.0007426,0.0007426
15,491.461,2.80886,7.45646,1.92904,0.01691,0.4789,0.02693,0.00757,2.75626,7.38348,2.03547,0.0007228,0.0007228,0.0007228
16,522.213,2.78569,7.33336,1.8929,0.19,0.25979,0.02531,0.00801,2.66604,7.32134,1.97249,0.000703,0.000703,0.000703
17,553.493,2.79694,7.39961,1.92277,0.19732,0.17898,0.03356,0.01072,2.56002,7.40351,1.93138,0.0006832,0.0006832,0.0006832
18,585.969,2.801,7.35536,1.98501,0.40962,0.08652,0.03475,0.01113,2.60608,7.17209,1.97468,0.0006634,0.0006634,0.0006634
19,622.997,2.91769,7.37805,2.01038,0.39906,0.0676,0.04175,0.01535,2.58036,7.04182,1.97212,0.0006436,0.0006436,0.0006436
20,659.824,2.72926,7.48486,1.92239,0.24863,0.07716,0.04915,0.0194,2.5783,6.97118,1.96209,0.0006238,0.0006238,0.0006238
21,696.399,2.73465,7.38716,1.95775,0.42728,0.06954,0.04972,0.01895,2.54681,7.01165,1.93205,0.000604,0.000604,0.000604
22,733.673,2.66958,7.09428,1.92913,0.71018,0.04469,0.05472,0.01784,2.49823,6.97188,1.86585,0.0005842,0.0005842,0.0005842
23,777.506,2.74552,6.8679,1.94789,0.6956,0.05567,0.04892,0.01621,2.58054,6.90506,1.89426,0.0005644,0.0005644,0.0005644
24,821.468,2.64515,6.93186,1.90635,0.75245,0.03847,0.05249,0.01684,2.59547,6.78067,1.9128,0.0005446,0.0005446,0.0005446
25,860.36,2.7088,6.82417,1.85823,0.22619,0.0524,0.05271,0.01802,2.59225,6.70902,1.92375,0.0005248,0.0005248,0.0005248
26,902.628,2.5263,6.84097,1.86413,0.2859,0.07755,0.05636,0.02009,2.49939,6.62927,1.88855,0.000505,0.000505,0.000505
27,943.358,2.68632,6.69048,1.89956,0.3212,0.05744,0.07153,0.02647,2.40367,6.44826,1.8524,0.0004852,0.0004852,0.0004852
28,985.537,2.50554,6.60996,1.80616,0.34012,0.07769,0.08125,0.02993,2.40312,6.4081,1.8494,0.0004654,0.0004654,0.0004654
29,1024.97,2.41704,6.38866,1.83883,0.39873,0.10053,0.08311,0.02977,2.35873,6.31911,1.83113,0.0004456,0.0004456,0.0004456
30,1066.62,2.64032,6.58891,1.83412,0.30242,0.15736,0.08739,0.03132,2.34874,6.25548,1.8501,0.0004258,0.0004258,0.0004258
31,1106.55,2.45447,6.62746,1.82408,0.31283,0.18172,0.10264,0.03667,2.37597,6.09863,1.86018,0.000406,0.000406,0.000406
32,1145.63,2.48744,7.20887,1.83353,0.2875,0.1802,0.11152,0.03813,2.42806,6.07287,1.88916,0.0003862,0.0003862,0.0003862
33,1187.71,2.55172,6.37353,1.86985,0.44103,0.1783,0.1201,0.03965,2.47507,6.04353,1.91975,0.0003664,0.0003664,0.0003664
34,1224.42,2.39628,6.39704,1.84174,0.46497,0.1671,0.12733,0.04005,2.69215,5.79608,2.09522,0.0003466,0.0003466,0.0003466
35,1268.08,2.53818,6.35346,1.79535,0.50201,0.17286,0.13366,0.04027,2.70357,5.72066,2.1177,0.0003268,0.0003268,0.0003268
36,1307.23,2.49868,6.42085,1.85475,0.50035,0.17388,0.15006,0.04673,2.60409,5.63755,2.06072,0.000307,0.000307,0.000307
37,1344.59,2.47974,6.57083,1.78184,0.37389,0.19046,0.15317,0.0524,2.41554,5.57563,1.93295,0.0002872,0.0002872,0.0002872
38,1379.36,2.33039,6.13977,1.75214,0.37662,0.21429,0.15757,0.06297,2.14396,5.47794,1.76822,0.0002674,0.0002674,0.0002674
39,1415.17,2.45358,6.19758,1.7852,0.37085,0.22194,0.15647,0.06378,2.11482,5.44302,1.74534,0.0002476,0.0002476,0.0002476
40,1449.66,2.33627,5.82066,1.68351,0.3493,0.23951,0.16142,0.06457,2.10272,5.38917,1.74002,0.0002278,0.0002278,0.0002278
41,1488.57,2.37589,6.45373,1.89549,0.35017,0.24066,0.17027,0.06549,2.11162,5.33626,1.74663,0.000208,0.000208,0.000208
42,1525.25,2.32757,6.61641,1.79058,0.35786,0.2357,0.17349,0.06229,2.23599,5.38564,1.83524,0.0001882,0.0001882,0.0001882
43,1564.08,2.22549,6.11468,1.82328,0.35876,0.2283,0.17541,0.06041,2.26469,5.43162,1.8589,0.0001684,0.0001684,0.0001684
44,1600.85,2.23116,6.10716,1.78906,0.363,0.21417,0.16976,0.06093,2.23771,5.44782,1.83447,0.0001486,0.0001486,0.0001486
45,1642.62,2.19029,6.04015,1.82308,0.37308,0.21703,0.16906,0.06255,2.17913,5.47038,1.79632,0.0001288,0.0001288,0.0001288
46,1683.82,2.22712,6.16893,1.77289,0.37472,0.2304,0.17105,0.06503,2.08044,5.47343,1.7401,0.000109,0.000109,0.000109
47,1723.65,2.21582,5.87018,1.812,0.37918,0.23199,0.16909,0.06577,2.06755,5.46151,1.72673,8.92e-05,8.92e-05,8.92e-05
48,1760.03,2.17178,6.09795,1.74245,0.3676,0.2261,0.1715,0.06593,2.0756,5.45862,1.72929,6.94e-05,6.94e-05,6.94e-05
49,1795.08,2.09678,6.00258,1.71278,0.3671,0.23642,0.16865,0.06511,2.06759,5.44919,1.7261,4.96e-05,4.96e-05,4.96e-05
50,1835.83,2.05878,6.06505,1.71427,0.36321,0.24185,0.17138,0.06588,2.06386,5.40871,1.7195,2.98e-05,2.98e-05,2.98e-05
